Sequential,Parallel,SharedMemory
409.057312,0.083968,0.075968
410.005005,0.074848,0.074496
408.517639,0.073312,0.073728
407.722534,0.073728,0.074016
408.868134,0.073760,0.074560
408.679443,0.073792,0.074496
408.671234,0.073248,0.073952
412.511108,0.073024,0.073536
447.467163,0.073248,0.073856
414.543304,0.073088,0.075680
419.483032,0.113696,0.073152
409.598907,0.094592,0.074016
415.105255,0.085120,0.074528
414.433044,0.083968,0.073696
412.274292,0.083104,0.073728
427.336365,0.083232,0.073728
423.046417,0.084608,0.073568
414.752319,0.083200,0.074048
439.146484,0.083680,0.074752
418.539062,0.083520,0.073312
418.705414,0.083104,0.074912
415.341827,0.083872,0.074464
419.575623,0.083200,0.074752
423.493103,0.083968,0.073728
433.027374,0.083360,0.074208
414.655487,0.083136,0.073760
411.705627,0.089728,0.074144
411.459259,0.086848,0.073856
411.058044,0.082624,0.073728
412.921844,0.082944,0.073728
411.615906,0.083776,0.073824
410.648804,0.082944,0.074144
410.402679,0.082752,0.073760
411.576324,0.083968,0.074752
411.401215,0.114016,0.073728
411.475403,0.084032,0.073280
410.877960,0.082944,0.073984
411.753998,0.083392,0.074944
411.135559,0.083168,0.073568
412.301300,0.087072,0.073760
412.452362,0.084160,0.073792
411.877411,0.082944,0.074592
411.243530,0.083328,0.073920
411.837677,0.082944,0.074400
412.336700,0.082720,0.074656
411.983734,0.083552,0.073728
412.125153,0.083264,0.074528
412.677399,0.082944,0.094272
412.000031,0.084192,0.075040
411.990021,0.083360,0.074752
411.927521,0.082464,0.078848
410.470184,0.083968,0.074016
411.167755,0.083680,0.073728
411.096069,0.073824,0.074144
410.851196,0.074432,0.073760
411.957794,0.074016,0.073728
412.161011,0.073568,0.092768
412.254883,0.073600,0.090112
411.582520,0.074496,0.078240
412.272736,0.073664,0.075776
411.281067,0.072960,0.078528
412.281067,0.074272,0.076128
411.549683,0.073728,0.077440
410.884033,0.073728,0.074752
411.498901,0.074720,0.077568
411.155762,0.073280,0.076800
412.181183,0.072896,0.077824
412.688385,0.073184,0.073696
411.582550,0.073504,0.074752
411.617218,0.074368,0.074880
412.265472,0.073408,0.073856
412.322540,0.073344,0.073088
411.854401,0.073824,0.073824
411.244141,0.073696,0.073984
412.368500,0.072960,0.073024
411.752502,0.073504,0.073984
410.939850,0.073568,0.074464
410.650604,0.073728,0.073600
411.270050,0.073632,0.074496
412.381195,0.073152,0.073440
413.697906,0.073536,0.073760
414.151550,0.073632,0.074144
413.460175,0.073728,0.074528
414.789642,0.072768,0.073888
414.558197,0.073504,0.074176
413.858826,0.073920,0.074752
414.450775,0.073088,0.074272
413.583374,0.074304,0.073728
413.074310,0.074240,0.073824
413.689026,0.072704,0.071680
414.156189,0.073216,0.073696
414.048340,0.073024,0.073600
414.181824,0.073312,0.074336
415.018921,0.074016,0.074752
414.241943,0.074272,0.074560
414.924835,0.073408,0.073728
413.431274,0.074368,0.073760
413.784088,0.072704,0.073920
415.686493,0.073888,0.074752
413.949463,0.073056,0.073760
