Sequential,Parallel,SharedMemory
5602.009766,0.108448,0.112640
5553.922363,0.102368,0.102528
5553.086914,0.103552,0.103328
5667.221680,0.102336,0.103360
5707.077637,0.101664,0.115520
5706.603516,0.101408,0.103392
5709.260254,0.102400,0.103872
5712.157715,0.100864,0.102688
5744.376953,0.102272,0.103424
5744.527344,0.102304,0.103424
5746.476074,0.118784,0.103232
5756.787109,0.112384,0.103968
5756.458008,0.113184,0.104832
5753.412109,0.112224,0.102624
5753.270020,0.111392,0.103424
5755.951172,0.112640,0.103040
5754.357422,0.111616,0.103424
5754.557617,0.111712,0.103392
5754.217773,0.112672,0.103520
5753.386230,0.112480,0.103456
5754.626953,0.111776,0.103328
5754.630859,0.112320,0.104608
5753.264648,0.112832,0.104416
5755.191406,0.113440,0.104736
5754.899414,0.112032,0.103552
5754.080078,0.112640,0.103520
5755.382812,0.113664,0.103648
5755.023926,0.112352,0.104256
5754.174805,0.111808,0.102400
5755.180176,0.112640,0.103392
5755.085938,0.112032,0.102656
5755.065918,0.112640,0.104064
5756.576172,0.112544,0.102400
5754.880371,0.112608,0.102688
5755.478027,0.111776,0.095104
5754.797363,0.112320,0.102400
5755.341797,0.112576,0.103424
5757.070312,0.111680,0.102400
5756.301270,0.111840,0.095200
5755.090332,0.112576,0.095200
5755.593262,0.112416,0.101856
5755.402832,0.111616,0.103360
5756.148438,0.113472,0.094240
5756.026367,0.112832,0.095360
5756.716797,0.120384,0.095392
5754.150879,0.128032,0.102208
5756.302734,0.104160,0.103328
5755.051270,0.104640,0.103360
5756.588379,0.104288,0.105024
5756.419922,0.103232,0.095552
5755.433594,0.105376,0.103424
5755.123535,0.105984,0.104352
5756.769043,0.096256,0.103040
5755.002930,0.105280,0.103488
5755.575684,0.094464,0.096640
5755.902832,0.101376,0.103584
5755.213867,0.102400,0.104896
5754.697266,0.102400,0.102592
5755.480469,0.102624,0.103424
5754.438477,0.093184,0.102624
5755.525391,0.101728,0.103232
5755.881348,0.093376,0.102400
5755.122559,0.101184,0.103424
5756.553223,0.101344,0.102336
5755.113281,0.094688,0.103296
5778.475098,0.101312,0.105024
5770.142090,0.093728,0.103968
5779.246094,0.100640,0.104352
5755.442383,0.101408,0.103424
5755.232910,0.100352,0.103840
5799.454590,0.093184,0.112128
5756.348633,0.102400,0.140288
5755.466309,0.102176,0.103872
5755.914062,0.100736,0.102880
5756.488281,0.092128,0.104096
5755.201660,0.098912,0.103424
5756.514160,0.092800,0.104448
5756.068848,0.098336,0.097664
5754.714355,0.102912,0.100608
5756.735352,0.101856,0.092960
5755.395020,0.094208,0.099328
5755.183105,0.102400,0.100352
5755.502930,0.094208,0.100864
5754.823242,0.101248,0.099968
5756.938965,0.100672,0.103872
5755.205566,0.101216,0.099712
5753.943359,0.101312,0.094048
5755.991699,0.102240,0.100032
5756.592285,0.100288,0.098048
5755.353027,0.093216,0.099328
5755.499512,0.102688,0.097600
5754.262695,0.102400,0.093952
5753.506348,0.094816,0.097280
5754.600586,0.100544,0.096736
5755.012207,0.100704,0.094368
5754.378418,0.101376,0.104448
5753.537109,0.102240,0.103104
5753.279297,0.100512,0.105216
5753.037598,0.093184,0.104640
5754.909180,0.114656,0.097696
