Sequential,Parallel,SharedMemory
340.682251,0.144544,0.057344
307.912170,0.108704,0.054464
305.834106,0.113280,0.054560
305.700073,0.093696,0.047488
304.537933,0.088640,0.055328
308.543518,0.085856,0.053728
306.554901,0.077888,0.059264
307.020264,0.056576,0.053280
307.576935,0.050496,0.052640
307.852814,0.053248,0.054368
307.436829,0.057408,0.055680
306.793365,0.052896,0.047808
307.409668,0.051200,0.045280
307.098969,0.051072,0.056672
310.961914,0.116736,0.051744
309.708527,0.071584,0.053248
309.823364,0.055456,0.055168
309.729462,0.052416,0.054240
309.348541,0.057728,0.053504
309.450348,0.049568,0.069632
310.483948,0.061376,0.049152
310.109619,0.050176,0.048608
310.927917,0.051872,0.051456
308.850677,0.052416,0.055136
309.771637,0.057632,0.053312
309.633301,0.053568,0.052032
310.227356,0.058656,0.058272
309.698212,0.050304,0.053408
309.536469,0.068896,0.055168
312.583771,0.051328,0.053472
312.754883,0.050848,0.053280
313.278290,0.049600,0.059392
312.635040,0.051392,0.053248
321.504333,0.057344,0.052128
315.176819,0.045376,0.057280
311.862762,0.051264,0.051552
314.185089,0.057568,0.052928
316.038696,0.050656,0.050944
314.570740,0.053280,0.053792
317.658966,0.050304,0.056256
315.410767,0.048192,0.052768
316.219818,0.057216,0.053184
315.906616,0.053152,0.050880
315.407104,0.051296,0.053120
317.817047,0.055008,0.055296
319.005859,0.050880,0.048992
317.190186,0.049312,0.049312
319.125519,0.051712,0.055264
314.650787,0.049696,0.051680
316.717041,0.058720,0.053600
318.132233,0.052992,0.051200
317.494965,0.048352,0.051872
319.877106,0.059232,0.046048
316.803284,0.051328,0.050016
319.581848,0.051008,0.050976
319.119293,0.051520,0.054944
318.690369,0.051424,0.050944
321.960236,0.057056,0.053568
318.055695,0.053984,0.056992
318.169525,0.048928,0.053088
318.355652,0.057056,0.080352
320.880035,0.052448,0.067264
319.719269,0.050496,0.070240
317.800201,0.051680,0.051584
319.696350,0.050336,0.055008
319.120605,0.056256,0.050656
322.852631,0.051232,0.053472
320.694214,0.051200,0.055808
319.247284,0.053280,0.053568
318.955719,0.049632,0.052768
318.384491,0.052768,0.053952
322.305939,0.050496,0.052480
320.931091,0.052800,0.053216
319.696014,0.056736,0.055904
320.683960,0.045056,0.052416
320.331848,0.057088,0.055584
320.358185,0.051200,0.053824
322.799194,0.064512,0.052032
319.473938,0.059584,0.056384
320.557343,0.059200,0.049760
322.150208,0.061632,0.055008
320.161469,0.056416,0.053280
320.784790,0.057568,0.053920
320.377289,0.053312,0.055296
322.482452,0.057920,0.056896
321.074554,0.064672,0.057440
320.735443,0.069312,0.053088
322.765381,0.054304,0.053088
320.340302,0.053472,0.061792
323.193878,0.057184,0.055104
321.522308,0.050336,0.041824
322.631836,0.052160,0.052576
320.652435,0.062784,0.053056
320.247498,0.050496,0.057088
322.982971,0.052640,0.055040
322.623413,0.051648,0.049056
322.955383,0.053696,0.058848
323.447113,0.054752,0.050880
322.107330,0.051008,0.050848
321.388611,0.053248,0.050176
