Sequential,Parallel,SharedMemory
249.690628,0.031744,0.021760
198.062073,0.020512,0.021440
198.041595,0.032640,0.020480
240.291580,0.318464,0.021376
257.687561,0.022432,0.021376
222.897156,0.038976,0.021504
206.214142,0.025600,0.020480
213.409790,0.046080,0.021472
198.548477,0.020480,0.021312
199.773987,0.019456,0.021216
199.201599,0.019456,0.035840
198.438919,0.054272,0.038912
216.702972,0.020480,0.021248
198.699905,0.039936,0.021504
199.292923,0.037152,0.020480
198.561798,0.019552,0.021504
197.921722,0.040960,0.021504
197.220352,0.020288,0.021504
196.794373,0.020480,0.034816
197.510147,0.038912,0.021504
196.940826,0.036864,0.020480
196.452347,0.020384,0.020576
197.938171,0.020192,0.020480
196.790268,0.019744,0.021408
196.456451,0.055296,0.020480
198.064865,0.019456,0.020448
196.472839,0.038912,0.020640
196.812805,0.019456,0.020480
197.617661,0.038912,0.021312
196.791290,0.019456,0.021440
197.479431,0.020288,0.020352
196.941818,0.020480,0.021280
196.774918,0.039104,0.021440
196.866791,0.036864,0.021504
196.805634,0.020640,0.020480
196.793442,0.036864,0.021408
197.490982,0.020288,0.021504
196.813599,0.039136,0.034816
196.794342,0.020480,0.021472
197.403641,0.021440,0.020576
196.760574,0.035840,0.021280
197.312515,0.020480,0.020480
196.989944,0.020480,0.035840
196.846649,0.020480,0.021376
197.885895,0.024576,0.020480
196.854782,0.038912,0.021472
196.800507,0.019552,0.034592
196.997116,0.020480,0.021504
196.911102,0.020480,0.038784
196.885498,0.035840,0.021504
197.874695,0.019456,0.020480
196.789246,0.021440,0.020480
197.525604,0.040960,0.022528
197.061630,0.019648,0.021504
196.763870,0.020192,0.020352
197.209091,0.035840,0.020480
196.721664,0.019488,0.043040
196.463394,0.034816,0.021472
197.770279,0.019616,0.020480
196.777985,0.019456,0.021344
196.766724,0.020480,0.039936
197.996552,0.021536,0.021504
196.712448,0.019456,0.020480
197.608444,0.035840,0.020704
196.690948,0.019680,0.021504
196.739899,0.020480,0.020544
197.397507,0.020352,0.020736
196.740860,0.034656,0.020480
196.773849,0.019456,0.020608
197.824570,0.041984,0.037056
196.780029,0.025600,0.021440
196.785156,0.021504,0.020480
197.695496,0.039936,0.021504
196.743164,0.020480,0.021216
197.495804,0.033792,0.020480
197.207047,0.020480,0.020480
196.984833,0.038912,0.021344
197.954559,0.020480,0.021280
197.047302,0.019712,0.034816
196.970367,0.019456,0.020480
198.108994,0.036800,0.038880
197.061630,0.020192,0.034944
197.045242,0.036832,0.021632
197.824509,0.020480,0.021504
197.006149,0.034048,0.038912
197.549057,0.020480,0.021440
197.089081,0.020480,0.021376
197.053223,0.019520,0.020576
197.573669,0.019552,0.021504
196.997116,0.019456,0.020512
197.085190,0.021216,0.020480
198.014969,0.020480,0.021280
196.997849,0.019456,0.020672
197.582855,0.036672,0.021504
197.537796,0.019488,0.021504
197.097473,0.038176,0.020480
197.021606,0.020480,0.020480
197.054459,0.020480,0.021216
196.956192,0.020416,0.020480
197.969925,0.020416,0.020512
