Sequential,Parallel,SharedMemory
1030.883667,0.069632,0.054272
975.514648,0.034816,0.066400
973.539307,0.032992,0.036864
974.571472,0.051200,0.036864
978.182129,0.033792,0.036864
977.948669,0.037888,0.054272
979.899414,0.033792,0.050400
979.964111,0.074752,0.051200
980.956177,0.038912,0.049088
980.242310,0.035840,0.050464
981.611694,0.035840,0.033792
987.310059,0.035840,0.033792
981.944336,0.036096,0.033792
979.475342,0.054272,0.053248
982.117371,0.035712,0.046080
980.209656,0.034848,0.047104
981.205017,0.035904,0.050368
992.907227,0.035840,0.053248
988.229858,0.034720,0.067808
987.172791,0.033824,0.036896
989.257751,0.035104,0.036896
993.294250,0.034944,0.036864
986.796021,0.035840,0.052224
988.048645,0.035840,0.053120
988.095459,0.054272,0.053248
995.139587,0.035776,0.051168
993.229919,0.038912,0.052160
987.301880,0.037888,0.054048
985.513977,0.035840,0.050176
986.568726,0.054272,0.053248
988.442627,0.035840,0.050176
987.586548,0.046080,0.053248
986.559570,0.054272,0.054176
992.685059,0.036864,0.058368
987.417603,0.060256,0.060416
989.042664,0.035840,0.050176
990.514160,0.060416,0.054272
989.042603,0.036864,0.051200
989.387573,0.057344,0.054272
989.059082,0.057344,0.050400
988.347656,0.036800,0.054272
990.598938,0.036032,0.054080
989.671448,0.035840,0.036864
990.363770,0.053248,0.036864
988.070190,0.036864,0.036896
989.530090,0.035840,0.051104
987.841797,0.035904,0.050176
990.481384,0.035840,0.054304
990.166016,0.035808,0.051200
990.085144,0.036000,0.054304
989.606934,0.039936,0.050176
990.778381,0.037888,0.036864
989.731812,0.035840,0.036992
1003.235535,0.035808,0.036864
991.562561,0.036064,0.036032
987.756531,0.039072,0.054272
1000.387817,0.038912,0.053536
991.416321,0.036608,0.053472
988.845032,0.036736,0.050336
988.424194,0.050048,0.053344
989.967346,0.054272,0.051200
989.509644,0.061344,0.054176
989.058167,0.054048,0.054144
991.925110,0.050176,0.050176
992.112671,0.054208,0.036928
989.675598,0.049376,0.036128
988.976135,0.053248,0.036864
990.053406,0.036640,0.056128
989.053955,0.036960,0.057344
988.526794,0.051200,0.051104
988.500977,0.053536,0.054272
990.592224,0.050208,0.036704
992.469910,0.050176,0.050176
987.272217,0.036736,0.036864
988.471313,0.034976,0.036864
989.284363,0.053280,0.054176
990.668823,0.054272,0.050464
991.768555,0.049408,0.054272
989.079285,0.050176,0.054272
988.836853,0.053312,0.052160
992.080872,0.050176,0.051168
989.092834,0.054112,0.054272
989.586670,0.053408,0.050176
992.505798,0.053248,0.051200
994.235413,0.056064,0.054272
998.862854,0.054048,0.054016
994.688904,0.050176,0.037120
992.869690,0.053056,0.036864
992.521118,0.054272,0.037888
992.235718,0.050176,0.036864
992.750305,0.053248,0.036864
992.102417,0.052992,0.036032
998.874084,0.053504,0.037024
992.393188,0.053248,0.036864
996.297546,0.053248,0.035840
994.553833,0.053248,0.055296
995.647461,0.036864,0.057344
1012.433899,0.035840,0.036864
992.375793,0.036672,0.036864
993.425415,0.053248,0.053248
